Chapter Name,Chapter URL,Email
Illinois Beta - University of Chicago,https://uchicago.phideltatheta.org/,pdtghq@phideltatheta.org
Indiana Iota - Valparaiso University,https://valpo.phideltatheta.org/,pdt.president@valpo.edu
Wisconsin Zeta - University of Wisconsin-Whitewater,https://uww.phideltatheta.org/,pdtghq@phideltatheta.org
Michigan Eta - Western Michigan University,https://wmich.phideltatheta.org/,phideltwmu@gmail.com
Wisconsin Alpha - University of Wisconsin-Madison,https://wisc.phideltatheta.org/,pdtghq@phideltatheta.org
Illinois Eta - University of Illinois Urbana-Champaign,https://illinois.phideltatheta.org/,phideltillinoiseta@gmail.com
Indiana Beta - Wabash College,https://wabash.phideltatheta.org/,ghq@phideltatheta.org
Wisconsin Gamma - Ripon College,https://ripon.phideltatheta.org/,gustafsonz@ripon.edu
Indiana Zeta - DePauw University,https://purdue.phideltatheta.org/,president.purduephidelts@gmail.com
Indiana Gamma - Butler University,https://butler.phideltatheta.org/,landritsch@butler.edu
Indiana Kappa - Ball State University,https://bsu.phideltatheta.org/,bsuphidelt@bsu.edu
Illinois Gamma - Monmouth College,https://monmouthcollege.phideltatheta.org/,ilgphideltatheta@gmail.com
Michigan Beta - Michigan State University,https://msu.phideltatheta.org/,pdtghq@phideltatheta.org
Wisconsin Epsilon - St. Norbert College,https://snc.phideltatheta.org/,pdtghq@phideltatheta.org
Indiana Delta - Franklin College,https://franklincollege.phideltatheta.org/,ghq@phideltatheta.org
Michigan Zeta - Central Michigan University,https://cmich.phideltatheta.org/,ghq@phideltatheta.org
Indiana Alpha - Indiana University-Bloomington,https://indiana.phideltatheta.org/,pdtghq@phideltatheta.org
Michigan Alpha - University of Michigan,https://umich.phideltatheta.org/,pdtmialphapresident@gmail.com
Michigan Delta - Kettering University,https://kettering.phideltatheta.org/,kuphidelts@gmail.com
Ohio Alpha - Miami University-Oxford,https://miamioh.phideltatheta.org/,pdtghq@phideltatheta.org
Indiana Epsilon - Hanover College,https://hanover.phideltatheta.org/,HCPhiDelt@gmail.com
Ohio Theta - University of Cincinnati,https://uc.phideltatheta.org/,pdtghq@phideltatheta.org
Ohio Beta - Ohio Wesleyan University,https://owu.phideltatheta.org/,pdtghq@phideltatheta.org
Missouri Iota - Lindenwood University,https://lindenwood.phideltatheta.org/,ghq@phideltatheta.org
Kentucky Iota - University of Louisville,https://louisville.phideltatheta.org/,pdtkyi@gmail.com
Ohio Xi - Otterbein University,https://otterbein.phideltatheta.org/,ghq@phideltatheta.org
Ohio Mu - Ashland University,https://ashland.phideltatheta.org/,ghq@phideltatheta.org
Iowa Gamma - Iowa State University,https://iastate.phideltatheta.org/,phideltathetaiowagamma@gmail.com
Iowa Delta - Drake University,https://drake.phideltatheta.org/,phideltathetaiowadelta@gmail.com
Ohio Eta - Case Western Reserve University,https://case.phideltatheta.org/,pdtghq@phideltatheta.org
Ohio Epsilon - University of Akron,https://uakron.phideltatheta.org/,dal106@uakron.edu
Missouri Beta Prime - Central Methodist University,https://centralmethodist.phideltatheta.org/,pdtghq@phideltatheta.org
Ohio Lambda - Kent State University at Kent,https://kent.phideltatheta.org/,ghq@phideltatheta.org
Kentucky Alpha-Delta - Centre College,https://centre.phideltatheta.org/,phideltathetakyad1@gmail.com
Missouri Zeta - Southeast Missouri State University,https://semo.phideltatheta.org/,gmchasteen1s@semo.edu
Kentucky Theta - Eastern Kentucky University,https://eku.phideltatheta.org/,lucas_pulvermache@mymail.eku.edu
Ohio Gamma - Ohio University,https://ohio.phideltatheta.org/,phideltoupresident@gmail.com
Kentucky Eta - Western Kentucky University,https://wku.phideltatheta.org/,ghq@phideltatheta.org
Minnesota Beta - Minnesota State University-Mankato,https://mnsu.phideltatheta.org/,phideltatheta@outlook.com
West Virginia Gamma - West Liberty University,https://westliberty.phideltatheta.org/,ghq@phideltatheta.org
Pennsylvania Pi - Robert Morris University,https://rmu.phideltatheta.org/,pdtghq@phideltatheta.org
Tennessee Alpha - Vanderbilt University,https://vanderbilt.phideltatheta.org/,rnunes@phideltatheta.org
Ontario Gamma - McMaster University,https://mcmaster.phideltatheta.org/,pdtghq@phideltatheta.org
Pennsylvania Iota - University of Pittsburgh,https://pitt.phideltatheta.org/,pdtghq@phideltatheta.org
Pennsylvania Rho - Carnegie Mellon University,https://cmu.phideltatheta.org/,phideltparho@gmail.com
Missouri Kappa - University of Missouri - Kansas City,https://umkc.phideltatheta.org/,pdtghq@phideltatheta.org
Tennessee Eta - Middle Tennessee State University,https://mtsu.phideltatheta.org/,ghq@phideltatheta.org
Nebraska Gamma - Creighton University,https://creighton.phideltatheta.org/,pdtghq@phideltatheta.org
Ontario Delta - York University,https://yorku.phideltatheta.org/,pdtontariodelta@gmail.com
Ontario Alpha - University of Toronto,https://utoronto.phideltatheta.org/,pdtghq@phideltatheta.org
Arkansas Beta - Arkansas State University,https://astate.phideltatheta.org/,phideltarbeta@gmail.com
Pennsylvania Lambda - Indiana University of Pennsylvania,https://iup.phideltatheta.org/,ghq@phideltatheta.org
Kansas Alpha - University of Kansas,https://ku.phideltatheta.org/,kupdtpresident@gmail.com
Kansas Theta - Ottawa University,https://ottawa.phideltatheta.org/,ottawaphidelt@gmail.com
Kansas Beta - Washburn University,https://washburn.phideltatheta.org/,dylan.brady@washburn.edu
Nebraska Alpha - University of Nebraska-Lincoln,https://unl.phideltatheta.org/,pdtghq@phideltatheta.org
Tennessee Theta - East Tennessee State University,https://etsu.phideltatheta.org/,ghq@phideltatheta.org
South Dakota Alpha - University of South Dakota,https://usd.phideltatheta.org/,pdtghq@phideltatheta.org
Virginia Kappa - Radford University,https://radford.phideltatheta.org/,Radfordphidelt@gmail.com
Virginia Eta - Virginia Polytechnic Institute and State University,https://vt.phideltatheta.org/,Will%20Murphy%20(President):%20willm04@vt.edu
North Carolina Eta - Appalachian State University,https://appstate.phideltatheta.org/,pdtghq@phideltatheta.org
Kansas Gamma - Kansas State University,https://k-state.phideltatheta.org/,pdtghq@phideltatheta.org
Kansas Epsilon - Emporia State University,https://emporia.phideltatheta.org/,ghq@phideltatheta.org
Pennsylvania Theta - Pennsylvania State University,https://psu.phideltatheta.org/,phideltpennstate@gmail.com
New York Eta - Rochester Institute of Technology,https://rit.phideltatheta.org/,pdtghq@phideltatheta.org
Mississippi Alpha - University of Mississippi,https://olemiss.phideltatheta.org/,pdtghq@phideltatheta.org
Arkansas Alpha - University of Arkansas,https://uark.phideltatheta.org/,pdtpres@uark.edu
Pennsylvania Omicron - Shippensburg University of Pennsylvania,http://ship.phideltatheta.org/,ghq@phideltatheta.org
Georgia Iota - University of North Georgia,https://ung.phideltatheta.org/,georgiaiotapresident@gmail.com
Virginia Beta - University of Virginia,https://virginia.phideltatheta.org/,phidelt@virginia.edu
Pennsylvania Beta - Gettysburg College,https://gettysburg.phideltatheta.org/,pdtghq@phideltatheta.org
South Carolina Gamma - Clemson University,https://clemson.phideltatheta.org/,pdtghq@phideltatheta.org
North Dakota Beta - North Dakota State University,https://ndsu.phideltatheta.org/,ndsuphidelt@gmail.com
North Carolina Gamma - Davidson College,https://davidson.phideltatheta.org/,pdtghq@phideltatheta.org
Maryland Beta - McDaniel College,https://mcdaniel.phideltatheta.org/,pdtmdbeta@gmail.com
Oklahoma Epsilon - Rogers State University,https://rsu.phideltatheta.org/,pdtghq@phideltatheta.org
Virginia Lambda - George Mason University,https://gmu.phideltatheta.org/,phideltgmu@gmail.com
Mississippi Beta - Mississippi State University,https://msstate.phideltatheta.org/,pdtghq@phideltatheta.org
Georgia Delta - Georgia Institute of Technology,https://gatech.phideltatheta.org/,pdtgeorgiadelta@gmail.com
Kansas Delta - Wichita State University,https://wichita.phideltatheta.org/,ksdeltapdt@gmail.com
North Carolina Epsilon - University of North Carolina at Charlotte,https://uncc.phideltatheta.org/,pdtghq@phideltatheta.org
Georgia Eta - University of West Georgia,https://westga.phideltatheta.org/,ghq@phideltatheta.org
Georgia Alpha - University of Georgia,https://uga.phideltatheta.org/,pdtghq@phideltatheta.org
Alabama Alpha - The University of Alabama,https://ua.phideltatheta.org/,pdtghq@phideltatheta.org
Nebraska Beta - University of Nebraska at Kearney,https://unk.phideltatheta.org/,mooreb2@lopers.unk.edu
Pennsylvania Sigma - Millersville University of Pennsylvania,https://millersville.phideltatheta.org/,pdtghq@phideltatheta.org
Maryland Delta - Johns Hopkins University,https://jhu.phideltatheta.org/,pdtghq@phideltatheta.org
North Carolina Beta - University of North Carolina at Chapel Hill,https://unc.phideltatheta.org/,pdtghq@phideltatheta.org
New York Zeta - Colgate University,https://colgate.phideltatheta.org/,pdtghq@phideltatheta.org
North Dakota Alpha - University of North Dakota,https://und.phideltatheta.org/,pdtghq@phideltatheta.org
Maryland Gamma - Washington College,https://washcoll.phideltatheta.org/,ghq@phideltatheta.org
Ontario Epsilon - Carleton University,https://carleton.phideltatheta.org/,ghq@phideltatheta.org
Oklahoma Beta - Oklahoma State University,https://okstate.phideltatheta.org/,phideltokb@gmail.com
Alabama Beta - Auburn University,https://auburn.phideltatheta.org/,ghq@phideltatheta.org
South Carolina Beta - University of South Carolina-Columbia,https://sc.phideltatheta.org/,pdtghq@phideltatheta.org
North Carolina Zeta - Campbell University,https://campbell.phideltatheta.org/,president.nczeta@outlook.com
Pennsylvania Mu - Widener University,https://widener.phideltatheta.org/,phideltpennmu@gmail.com
Georgia Theta - Augusta University,https://augusta.phideltatheta.org/,pdtghq@phideltatheta.org
Pennsylvania Zeta - University of Pennsylvania,https://upenn.phideltatheta.org/,ghq@phideltatheta.org
New Jersey Gamma - Seton Hall University,https://shu.phideltatheta.org/,pdtghq@phideltatheta.org
New Jersey Epsilon - Montclair State University,https://montclair.phideltatheta.org/,pdtmontclair@gmail.com
Oklahoma Alpha - University of Oklahoma,https://ou.phideltatheta.org/,pdtokalpha@gmail.com
Louisiana Epsilon - Louisiana Tech University,https://latech.phideltatheta.org/,latechpdt@gmail.com
New Jersey Delta - Stockton University,https://stockton.phideltatheta.org/,pdtghq@phideltatheta.org
Manitoba Alpha - University of Manitoba,https://umanitoba.phideltatheta.org/,actives@manitobaphi.ca
New York Lambda - St. John's University,https://stjohns.phideltatheta.org/,ghq@phideltatheta.org
Georgia Epsilon - Georgia Southern University,https://georgiasouthern.phideltatheta.org/,ghq@phideltatheta.org
New York Kappa - Hofstra University,https://hofstra.phideltatheta.org/,pdtghq@phideltatheta.org
Oklahoma Gamma - Southwestern Oklahoma State University,https://swosu.phideltatheta.org/,pdtghq@phideltatheta.org
Quebec Alpha - McGill University,https://mcgill.phideltatheta.org/,pdtghq@phideltatheta.org
Connecticut Alpha - Central Connecticut State University,https://ccsu.phideltatheta.org/,phideltathetacta@gmail.com
Connecticut Gamma - University of Connecticut,https://uconn.phideltatheta.org/,president.phideltctg@gmail.com
Texas Upsilon - The University of Texas at Dallas,https://utdallas.phideltatheta.org/,pdtghq@phideltatheta.org
Connecticut Delta - Eastern Connecticut State University,https://ecsu.phideltatheta.org/,ghq@phideltatheta.org
Texas Delta - Southern Methodist University,https://smu.phideltatheta.org/,pdtghq@phideltatheta.org
Texas Eta - Stephen F. Austin State University,https://sfasu.phideltatheta.org/,Benningft@jacks.sfasu.edu
Texas Kappa - The University of Texas at Arlington,http://uta.phideltatheta.org/,ghq@phideltatheta.org
New Hampshire Beta - Southern New Hampshire University,https://snhu.phideltatheta.org/,phideltatheta@snhu.edu
Texas Zeta - Texas Christian University,https://tcu.phideltatheta.org/,pdtghq@phideltatheta.org
Louisiana Alpha - Tulane University of Louisiana,http://tulane.phideltatheta.org/,pdtghq@phideltatheta.org
Massachusetts Eta - Babson College,https://babson.phideltatheta.org/,pdtghq@phideltatheta.org
Massachusetts Epsilon - Northeastern University,https://northeastern.phideltatheta.org/,pdtghq@phideltatheta.org
Massachusetts Gamma - Massachusetts Institute of Technology,https://mit.phideltatheta.org/,ghq@phideltatheta.org
Texas Pi - Sam Houston State University,https://shsu.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Alpha - University of Florida,https://ufl.phideltatheta.org/,pdtghq@phideltatheta.org
Texas Theta - West Texas A&M University,https://wtamu.phideltatheta.org/,ghq@phideltatheta.org
Colorado Gamma - Colorado State University,https://colostate.phideltatheta.org/,coloradogammapdt@gmail.com
Texas Nu - Texas A&M University-College Station,https://tamu.phideltatheta.org/,aggiepdtpresident@gmail.com
Colorado Alpha - University of Colorado Boulder,https://colorado.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Mu - Embry-Riddle Aeronautical University-Daytona Beach,https://erau.phideltatheta.org/,pdtflmu@gmail.com
Texas Gamma - Southwestern University,https://southwestern.phideltatheta.org/,Charlieafournier@icloud.com
Texas Epsilon - Texas Tech University,https://ttu.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Iota - University of Central Florida,https://ucf.phideltatheta.org/,pdt@ucf.edu
Florida Epsilon - University of South Florida,https://usf.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Theta - The University of Tampa,http://ut.phideltatheta.org/,pdtghq@phideltatheta.org
Texas Mu - Texas State University,https://txstate.phideltatheta.org/,pdtghq@phideltatheta.org
Texas Xi - The University of Texas at San Antonio,https://utsa.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Xi - Florida Gulf Coast University,https://fgcu.phideltatheta.org/,pdtghq@phideltatheta.org
New Mexico Alpha - University of New Mexico,https://unm.phideltatheta.org/,pdtnma@gmail.com
Florida Nu - Florida Atlantic University,https://fau.phideltatheta.org/,pdtghq@phideltatheta.org
Florida Omicron - Nova Southeastern University,https://nova.phideltatheta.org/,phidelta@greeks.nova.edu
Florida Delta - University of Miami,https://miami.phideltatheta.org/,ghq@phideltatheta.org
Florida Kappa - Florida International University,https://fiu.phideltatheta.org/,pdtghq@phideltatheta.org
Nova Scotia Alpha - Dalhousie University,https://dal.phideltatheta.org/,ghq@phideltatheta.org
Texas Tau - The University of Texas at El Paso,https://utep.phideltatheta.org/,pdtghq@phideltatheta.org
Utah Alpha - University of Utah,https://utah.phideltatheta.org/,president.utahalpha@gmail.com
Montana Alpha - University of Montana,https://umt.phideltatheta.org/,Phideltumt@gmail.com
Alberta Alpha - University of Alberta,https://ualberta.phideltatheta.org/,pdtghq@phideltatheta.org
Arizona Alpha - University of Arizona,https://arizona.phideltatheta.org/,president.phidelt@gmail.com
Arizona Beta - Arizona State University,https://asu.phideltatheta.org/,pdtghq@phideltatheta.org
Idaho Beta - Boise State University,http://boisestate.phideltatheta.org/,phideltidahobeta@gmail.com
Idaho Alpha - University of Idaho,http://uidaho.phideltatheta.org/,ghq@phideltatheta.org
Washington Gamma - Washington State University,https://wsu.phideltatheta.org/,Wsuphideltatheta@outlook.com
Nevada Beta - University of Nevada-Las Vegas,https://unlv.phideltatheta.org/,unlvphidelt.president@gmail.com
Washington Beta - Whitman College,https://whitman.phideltatheta.org/,pdtghq@phideltatheta.org
British Columbia Gamma - The University of British Columbia-Okanagan,https://ubco.phideltatheta.org/,phideltathetaubco@gmail.com
Nevada Alpha - University of Nevada-Reno,https://unr.phideltatheta.org/,pdt.nva.president@gmail.com
California Rho - University of La Verne,https://laverne.phideltatheta.org/,phideltathetacalrho@gmail.com
California Pi - San Diego State University,https://sdsu.phideltatheta.org/,President.pdt@gmail.com
California Alpha Alpha - California State University-Fullerton,https://calstatefullerton.phideltatheta.org/,pdtghq@phideltatheta.org
California Phi - Chapman University,https://chapman.phideltatheta.org/,pdtghq@phideltatheta.org
Washington Alpha - University of Washington,https://washington.phideltatheta.org/,pdtghq@phideltatheta.org
Washington Delta - University of Puget Sound,https://pugetsound.phideltatheta.org/,pdtghq@phideltatheta.org
Oregon Delta - Oregon Institute of Technology,https://oit.phideltatheta.org/,pdtghq@phideltatheta.org
California Zeta - California State University-Northridge,https://csun.phideltatheta.org/,pdtghq@phideltatheta.org
British Columbia Alpha - University of British Columbia,https://ubc.phideltatheta.org/,pdtghq@phideltatheta.org
California Xi - California State University-Chico,https://csuchico.phideltatheta.org/,calxipresident@gmail.com
Oregon Alpha - University of Oregon,https://uoregon.phideltatheta.org/,uophidelt@gmail.com
Oregon Beta - Oregon State University,https://oregonstate.phideltatheta.org/,pdtghq@phideltatheta.org
California Epsilon - University of California-Davis,https://ucdavis.phideltatheta.org/,president@pdtucd.com
California Nu - California Polytechnic State University-San Luis Obispo,https://calpoly.phideltatheta.org/,phideltcalpoly@gmail.com
California Omega - Santa Clara University,https://scu.phideltatheta.org/,bjohnson2@scu.edu
California Alpha - University of California-Berkeley,https://berkeley.phideltatheta.org/,ghq@phideltatheta.org
California Sigma - Sonoma State University,https://sonoma.phideltatheta.org/,pdtghq@phideltatheta.org
California Chi - University of San Francisco,https://usfca.phideltatheta.org/,pdtghq@phideltatheta.org
