Chapter Name,Email
Alpha Beta Chapter – University of Iowa,alphabeta.president@alphadeltapi.net
"Alpha Chi Chapter – University of California, Los Angeles",alphachi.president@alphadeltapi.net
Alpha Eta Chapter – Kansas State University,alphaeta.president@alphadeltapi.net
"Alpha Gamma Chapter – University of Missouri, Columbia",alphagamma.president@alphadeltapi.net
"Alpha Kappa Chapter – University of Tennessee, Knoxville",alphakappa.president@alphadeltapi.net
Alpha Omicron Chapter – Oklahoma State University,alphaomicron.president@alphadeltapi.net
Alpha Pi Chapter – George Washington University,alphapi.president@alphadeltapi.net
Alpha Psi Chapter – University of Southern California,alphapsi.president@alphadeltapi.net
Beta Alpha Chapter – Indiana University,betaalpha.president@alphadeltapi.net
"Beta Beta Chapter – University of Tennessee, Chattanooga",betabeta.president@alphadeltapi.net
Beta Epsilon Chapter – University of South Carolina,betaepsilon.president@alphadeltapi.net
Beta Eta Chapter – University of Michigan,betaeta.president@alphadeltapi.net
Beta Kappa Chapter – University of British Columbia,betakappa.president@alphadeltapi.net
Beta Nu Chapter – University of Georgia,betanu.president@alphadeltapi.net
Beta Omega Chapter – Auburn University,betaomega.president@alphadeltapi.net
Beta Phi Chapter – University of Maryland,betaphi.president@alphadeltapi.net
Beta Sigma Chapter – Mercer University,betasigma.president@alphadeltapi.net
Beta Tau Chapter – University of Akron,betatau.president@alphadeltapi.net
"Beta Upsilon Chapter – University of North Carolina, Chapel Hill",betaupsilon.president@alphadeltapi.net
Chi Chapter – Wittenberg University,chi.president@alphadeltapi.net
Delta Beta Chapter – Lamar University,deltabeta.president@alphadeltapi.net
"Delta Chapter – University of Texas, Austin",delta.president@alphadeltapi.net
Delta Delta Chapter – University of Arkansas,deltadelta.president@alphadeltapi.net
Delta Eta Chapter – McNeese State University,deltaeta.president@alphadeltapi.net
Delta Kappa Chapter – Pennsylvania State University,deltakappa.president@alphadeltapi.net
Delta Mu Chapter – Sam Houston State University,deltamu.president@alphadeltapi.net
Delta Nu Chapter – Southeast Missouri State University,deltanu.president@alphadeltapi.net
Delta Omicron Chapter – East Carolina University,deltaomicron.president@alphadeltapi.net
Delta Pi Chapter – Ripon College,deltapi.president@alphadeltapi.net
Delta Rho Chapter – Gettysburg College,deltarho.president@alphadeltapi.net
Delta Sigma Chapter – University of Mississippi,deltasigma.president@alphadeltapi.net
Delta Theta Chapter – Valdosta State University,deltatheta.president@alphadeltapi.net
Epsilon Chapter – Tulane University,epsilon.president@alphadeltapi.net
Epsilon Chi Chapter – Longwood University,epsilonchi.president@alphadeltapi.net
Epsilon Delta Chapter – Western Kentucky University,epsilondelta.president@alphadeltapi.net
Epsilon Epsilon Chapter – Texas Tech University,epsilonepsilon.president@alphadeltapi.net
Epsilon Kappa Chapter – Troy University,epsilonkappa.president@alphadeltapi.net
Epsilon Lambda Chapter – University of South Florida,epsilonlambda.president@alphadeltapi.net
Epsilon Mu Chapter – University of Northern Iowa,epsilonmu.president@alphadeltapi.net
Epsilon Nu Chapter – Ashland University,epsilonnu.president@alphadeltapi.net
Epsilon Omicron Chapter – Murray State University,epsilonomicron.president@alphadeltapi.net
Epsilon Phi Chapter – Eastern Kentucky University,epsilonphi.president@alphadeltapi.net
Epsilon Pi Chapter – Georgia Southern University,epsilonpi.president@alphadeltapi.net
Epsilon Psi Chapter – Tennessee Technological University,epsilonpsi.president@alphadeltapi.net
Epsilon Tau Chapter – Middle Tennessee State University,epsilontau.president@alphadeltapi.net
Epsilon Xi Chapter – Northern Arizona University,epsilonxi.president@alphadeltapi.net
Epsilon Zeta Chapter – Texas State University,epsilonzeta.president@alphadeltapi.net
"Eta Alpha Chapter – University of North Carolina, Wilmington",etaalpha.president@alphadeltapi.net
Eta Chapter – University of Alabama,eta.president@alphadeltapi.net
Eta Epsilon Chapter – Miami University,etaepsilon.president@alphadeltapi.net
Eta Eta Chapter – South Dakota Mines,etaeta.president@alphadeltapi.net
Eta Gamma Chapter – Austin Peay State University,etagamma.president@alphadeltapi.net
Eta Lambda Chapter – Albright College,etalambda.president@alphadeltapi.net
Eta Nu Chapter – St. Louis University,etanu.president@alphadeltapi.net
Eta Omega Chapter – Centre College,etaomega.president@alphadeltapi.net
Eta Omicron Chapter – Western Connecticut State University,etaomicron.president@alphadeltapi.net
Eta Pi Chapter – VA Polytechnic Institute and State University,etapi.president@alphadeltapi.net
"Eta Rho Chapter – California State University, Chico",etarho.president@alphadeltapi.net
Eta Upsilon Chapter – Wake Forest University,etaupsilon.president@alphadeltapi.net
Eta Xi Chapter – Presbyterian College,etaxi.president@alphadeltapi.net
Gamma Chi Chapter – Texas Christian University,gammachi.president@alphadeltapi.net
Gamma Delta Chapter – University of Miami,gammadelta.president@alphadeltapi.net
Gamma Eta Chapter – University of Memphis,gammaeta.president@alphadeltapi.net
Gamma Gamma Chapter – Florida Southern College,gammagamma.president@alphadeltapi.net
Gamma Kappa Chapter – West Virginia Wesleyan College,gammakappa.president@alphadeltapi.net
Gamma Lambda Chapter – University of Rhode Island,gammalambda.president@alphadeltapi.net
Gamma Mu Chapter – Missouri State University,gammamu.president@alphadeltapi.net
Gamma Omicron Chapter – Susquehanna University,gammaomicron.president@alphadeltapi.net
Gamma Pi Chapter – Wagner College,gammapi.president@alphadeltapi.net
Gamma Rho Chapter – Arizona State University,gammarho.president@alphadeltapi.net
Gamma Tau Chapter – University of Vermont,gammatau.president@alphadeltapi.net
Gamma Theta Chapter – University of Mount Union,gammatheta.president@alphadeltapi.net
"Gamma Xi Chapter – University of California, Santa Barbara",gammaxi.president@alphadeltapi.net
Iota Alpha Chapter – University of Texas at San Antonio,iotaalpha.president@alphadeltapi.net
Iota Beta Chapter – Campbell University,iotabeta.president@alphadeltapi.net
Iota Chapter – Florida State University,iota.president@alphadeltapi.net
"Iota Gamma Chapter – University of California, Davis",iotagamma.president@alphadeltapi.net
Kappa Chapter – Samford University,kappa.president@alphadeltapi.net
Lambda Chapter – Brenau University,lambda.president@alphadeltapi.net
Omega Chapter – Louisiana State University,omega.president@alphadeltapi.net
Pi Chapter – Iowa State University,pi.president@alphadeltapi.net
"Psi Chapter – University of California, Berkeley",psi.president@alphadeltapi.net
Rho Chapter – Boston University,rho.president@alphadeltapi.net
