Chapter Name,Chapter Type,Email
Alaska Alumnae,Alumnae,aoiialaska@gmail.com
Alpha Delta – University of Alabama,Collegiate,
Alpha Kappa – University of North Alabama,Collegiate - Closed,
Birmingham Alumnae,Alumnae,bhamaopialumnae@gmail.com
Delta Delta – Auburn University,Collegiate,
Delta Epsilon – Jacksonville State University,Collegiate,
Delta Tau – University of Alabama in Huntsville,Collegiate,
Gamma Delta – University of South Alabama,Collegiate,
Huntsville Alumnae,Alumnae,
Mobile Alumnae,Alumnae,marleymuseum@msn.com
Rho Delta – Samford University,Collegiate,
Sigma Delta – Huntingdon College,Collegiate,
Tau Delta – Birmingham-Southern College,Collegiate - Closed,
Theta Delta – Troy University,Collegiate,
Zeta Pi – University of Alabama at Birmingham,Collegiate,
Jonesboro Alumnae,Alumnae,aoiijonesboroalumnaechapter@gmail.com
Little Rock Area Alumnae,Alumnae,Littlerockaoii@gmail.com
Northwest Arkansas Alumnae,Alumnae,nwaaoiialum@gmail.com
Sigma Omicron – Arkansas State University,Collegiate,
Upsilon Beta – University of Arkansas – Fort Smith,Collegiate,
Xi Omicron – University of Arkansas,Collegiate,
Lambda Psi – Arizona State University,Collegiate,
Northern Arizona Alumnae,Alumnae,alana.t.bateman@gmail.com
Phoenix Alumnae,Alumnae,phoenixaoii@gmail.com
Theta Omega – Northern Arizona University,Collegiate,
Upsilon Alpha – University of Arizona,Collegiate - Closed,
"Chi Alpha – University of California, Davis",Collegiate - Closed,
Chi Psi – California Polytechnic State University,Collegiate,
Delta Sigma – San Jose State University,Collegiate,
East Bay Alumnae,Alumnae,aoiieastbayalumna@gmail.com
Greater Los Angeles Alumnae,Alumnae,
Greater Sacramento Valley Alumnae,Alumnae,gsvaoiialumnae@gmail.com
Inland Empire Alumnae Chapter,Alumnae,
"Kappa Theta – University of California, Los Angeles",Collegiate - Closed,
Lambda – Stanford University,Collegiate - Closed,
Lambda Alpha – University of La Verne,Collegiate,
"Lambda Beta – California State University, Long Beach",Collegiate,
"Lambda Iota – University of California, San Diego",Collegiate,
Northern Orange County Alumnae,Alumnae,
Nu Lambda – University of Southern California,Collegiate - Closed,
Palo Alto Alumnae,Alumnae,lisa_shemwell@yahoo.com
San Diego Alumnae,Alumnae,%20info@aoiisandiego.org
San Fernando Valley Alumnae,Alumnae,sfvaoiialumnae@gmail.com
San Francisco Alumnae,Alumnae,aoiisf@gmail.com
San Gabriel Valley Alumnae,Alumnae,sgvac_roses@yahoo.com
San Jose Alumnae,Alumnae,scuba054@hotmail.com
San Mateo Alumnae,Alumnae,
"Sigma – University of California, Berkeley",Collegiate - Closed,
"Sigma Phi – California State University, Northridge",Collegiate - Closed,
Southern Orange County Alumnae,Alumnae,adolan7523@aol.com
"Theta Iota – California State University, San Marcos",Collegiate,
